problem,iteration,input_tokens,output_tokens,reasoning_tokens,verilog_file,model_name,finish_reason,system_fingerprint,run_id
Prob154_fsm_ps2data,0,1490,3359,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob154_fsm_ps2data\Prob154_fsm_ps2data_gen_0.sv,x-ai/grok-code-fast-1,stop,,gen-1760473525-FiHtC6SyATfDoJ0J5UI8
Prob154_fsm_ps2data,1,1490,2388,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob154_fsm_ps2data\Prob154_fsm_ps2data_gen_1.sv,x-ai/grok-code-fast-1,stop,,gen-1760473552-P818mKl6O3bH6EckIvC4
Prob154_fsm_ps2data,2,1490,27685,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob154_fsm_ps2data\Prob154_fsm_ps2data_gen_2.sv,x-ai/grok-code-fast-1,stop,,gen-1760473565-3dyw1u8NwImFgEZEUZZH
Prob154_fsm_ps2data,4,1490,14328,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob154_fsm_ps2data\Prob154_fsm_ps2data_gen_4.sv,x-ai/grok-code-fast-1,stop,,gen-1760473886-fR5hnSXa6OMCNPOkAfEL
Prob154_fsm_ps2data,3,1490,9998,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob154_fsm_ps2data\Prob154_fsm_ps2data_gen_3.sv,x-ai/grok-code-fast-1,stop,,gen-1760473808-Xjb8QyWpxuK2nXfOxytV
Prob154_fsm_ps2data,8,1490,10901,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob154_fsm_ps2data\Prob154_fsm_ps2data_gen_8.sv,x-ai/grok-code-fast-1,stop,,gen-1760474145-CnhSaAGEvaaQuqFwk1Ig
Prob154_fsm_ps2data,5,1490,5303,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob154_fsm_ps2data\Prob154_fsm_ps2data_gen_5.sv,x-ai/grok-code-fast-1,stop,,gen-1760474022-OQ8fGROKnqCrXEkAmQy7
Prob154_fsm_ps2data,7,1490,5569,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob154_fsm_ps2data\Prob154_fsm_ps2data_gen_7.sv,x-ai/grok-code-fast-1,stop,,gen-1760474100-2UhjEhehMsVvHY4zqtpw
Prob154_fsm_ps2data,6,1490,3379,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob154_fsm_ps2data\Prob154_fsm_ps2data_gen_6.sv,x-ai/grok-code-fast-1,stop,,gen-1760474072-QAccHEJ4ibCLXHlf6wsc
Prob154_fsm_ps2data,9,1490,2017,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob154_fsm_ps2data\Prob154_fsm_ps2data_gen_9.sv,x-ai/grok-code-fast-1,stop,,gen-1760474232-r8fZmTQKWuP2UD6nuLOr
Prob068_countbcd,1,588,2545,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob068_countbcd\Prob068_countbcd_gen_1.sv,x-ai/grok-code-fast-1,stop,,gen-1760474277-NMFLVCiOFIhlcwSPcmuz
Prob068_countbcd,0,588,3153,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob068_countbcd\Prob068_countbcd_gen_0.sv,x-ai/grok-code-fast-1,stop,,gen-1760474251-3B5JD0LDwMwnYx6XWlcB
Prob068_countbcd,2,588,2538,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob068_countbcd\Prob068_countbcd_gen_2.sv,x-ai/grok-code-fast-1,stop,,gen-1760474297-M8wfHvlNrBcwm3Pnk4kQ
Prob068_countbcd,3,588,2985,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob068_countbcd\Prob068_countbcd_gen_3.sv,x-ai/grok-code-fast-1,stop,,gen-1760474315-7x5OoebxIo7lLGt9gUak
Prob068_countbcd,5,588,4098,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob068_countbcd\Prob068_countbcd_gen_5.sv,x-ai/grok-code-fast-1,stop,,gen-1760474366-jmOrqPCBC94PkLwrNZgY
Prob068_countbcd,4,588,4096,0,C:\Users\durgamaniryudh\Desktop\Learn\llm_eval\dataset_spec-to-rtl\test\Prob068_countbcd\Prob068_countbcd_gen_4.sv,x-ai/grok-code-fast-1,stop,,gen-1760474339-yQJAo3SPEvF7eRG5Nprp
